店铺,商品ID,飞书sheet名
日本本土店,1734293061625742519,鼻毛刀
日本本土店,1734672142764115127,场景贴纸
日本本土店,1731768643580953783,蜻蜓挂件
日本本土店,1736121773627573268,蜻蜓挂件
日本跨境店,1736121773627573268,鼻毛刀
日本跨境店,1736224169205924884,场景贴纸
日本跨境店,1736358515748078612,超声波驱蚊灯
日本直邮一店,1735787079303464414,超声波驱蚊灯
日本直邮一店,1735933257201321438,轮胎保护套
日本直邮一店,1737200685139002846,钥匙扣收纳盒
日本直邮一店,1737110086285690334,充气坐垫
日本直邮一店,1736435381655602654,饭团模具
日本直邮一店,1737243297568032222,磁吸太阳能灯
日本直邮一店,1737385891428599262,人体感应灯
日本直邮一店,1737344947548292574,颈部支撑枕
日本直邮一店,1736665715420530142,PCM凉感帽
日本直邮一店,1736305819697055198,重力眼罩
日本直邮一店,1736767412663780830,车载氛围灯
日本直邮一店,1736503657724478942,收纳袋
日本直邮一店,1736767318143370718,智能呼啦圈
日本直邮一店,1736998053982406110,百贴布
日本直邮一店,1737126809348572638,洗帽架
日本直邮一店,1736617793155597790,按摩刮痧板
日本直邮二店,1737203153386440590,按摩刮痧板
日本直邮二店,1736580232169293710,轮胎保护套
日本直邮二店,1736909130671163278,PCM凉感帽
日本直邮二店,1737113872862775182,重力眼罩
