商品名称,商品状态,店铺名称,国家/地区,商品分类,售价,佣金比例,7天销量,7天销售额,总销量,总销售额,带货达人总数,达人出单率,带货视频总数,带货直播总数,商品图片,FastMoss商品详情页地址,TikTok商品落地页地址,FastMoss店铺详情页地址,预估商品上架时间
"Kem dưỡng da toàn thân dưỡng ẩm với thành phần lipid thực vật và hương nước hoa - Mùi tương tự Black Velvet Opium, Gió Thoảng Hoa Đồng, Lời Tỏ Tình Paris- Lưu hương lâu, dưỡng ẩm dài lâu, phù hợp mọi loại da, unisex - Skincare",在售,Glossy Skin Care-VN,VN,美妆个护,"₫48,000",13.5%,4824,255627137,9839,510881211,67,58.7%,114,50,https://s.500fd.com/tt_product/c8b270bdef324e8b9dc17844b078b450~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1733253112994105172,https://shop.tiktok.com/view/product/1733253112994105172?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494144148823181140,2025-11-18 00:13:18
Sữa dưỡng thể dưỡng ẩm hương Black Velvet Opium kết cấu nhẹ tênh làm dịu da sần bổ sung squalane giúp da ẩm mượt và sáng rạng 268 ml,在售,Glossy Skin Care-VN,VN,美妆个护,"₫43,644",13.5%,1628,70506226,1646,71226208,19,50.37%,1,18,https://s.500fd.com/tt_product/6c735731524c420f9fc34a4abf92418e~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1733362308842882900,https://shop.tiktok.com/view/product/1733362308842882900?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494144148823181140,2025-11-30 01:13:15
Sữa dưỡng thể chống nắng Black Opium Grace and Glow Sun Body Serum hỗ trợ cải thiện sắc tố da 100ml hỗ trợ nâng tone da body,在售,Grace and Glow Việt Nam,VN,美妆个护,"₫90,105",5%,140,13851388,49900,3746477963,827,63.63%,1294,1253,https://s.500fd.com/tt_product/ac4fbbe9d26048e3bb758267a0678dac~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1730781853952543580,https://shop.tiktok.com/view/product/1730781853952543580?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-08-24 19:30:09
Sữa Dưỡng Thể Hương Nước Hoa Cao Cấp - Black Opium Mon Paris Wild Bluebell - Dưỡng Ẩm và Lưu Hương Lâu Phù Hợp Cho Mọi Loại Da Nam Nữ,在售,linmeimei,VN,其它,"58,500₫",1%,18,1053000,18,1053000,0,16.97%,0,0,https://s.500fd.com/tt_product/2e3adbddf3c6413daf91cf5f94e66156~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1733375020174706509,https://shop.tiktok.com/view/product/1733375020174706509?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494242960427681613,2025-11-28 18:18:38
"Kem dưỡng da toàn thân dưỡng ẩm với thành phần lipid thực vật và hương nước hoa - Mùi tương tự Black Velvet Opium, Gió Thoảng Hoa Đồng, Lời Tỏ Tình Paris- Lưu hương lâu, dưỡng ẩm dài lâu, phù hợp mọi loại da, unisex - Skincare",在售,EXLO,VN,美妆个护,"44,811₫",-,6,268866,6,268866,1,13.82%,0,6,https://s.500fd.com/tt_product/ac45181d69b7472bab4adaf3364911eb~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1733084125922100382,https://shop.tiktok.com/view/product/1733084125922100382?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/8652775107891528862,2025-12-05 07:20:24
"【2 tuýp｜Tặng găng tay thoa sữa dưỡng thể】Kem dưỡng da toàn thân dưỡng ẩm với thành phần lipid thực vật và hương nước hoa - Mùi tương tự Black Velvet Opium, Lời Tỏ Tình Paris ,Gió Thoảng Hoa Đồng - Lưu hương lâu, dưỡng ẩm dài lâu, phù hợp mọi loại da",在售,Glossy Skin Care-VN,VN,美妆个护,"₫82,470",13.5%,5,407406,5,407406,0,13.84%,0,0,https://s.500fd.com/tt_product/5006724332ba43db972d8506fc06349a~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1733363992762877780,https://shop.tiktok.com/view/product/1733363992762877780?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494144148823181140,2025-11-27 00:13:00
Grace and Glow Sữa dưỡng thể kem chống nắng body Black Opium Sun Body Serum/Hỗ trợ làm sáng Gel White B3 Bright,在售,Trâm Đức,VN,美妆个护,"₫94,611",4%,4,378444,71,5770356,3,13.37%,2,1,https://s.500fd.com/tt_product/108a8fcc69524bcbb7e25bf27c3eb37b~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1732340235401462874,https://shop.tiktok.com/view/product/1732340235401462874?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7495081468701804634,2025-09-08 22:24:53
Sữa Dưỡng Thể Chống Nắng Grace And Glow Black Opium Brightening Sun Body Serum Chăm Sóc Da,在售,Lam Thao Cosmetics,VN,美妆个护,"117,268₫",2%,1,117268,6,575268,1,9.86%,0,9,https://s.500fd.com/tt_product/d36c4ea41dd14d629fd63776dccbd12a~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1731199297663371823,https://shop.tiktok.com/view/product/1731199297663371823?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494532849681205807,2024-11-07 09:50:31
Combo 2in1 Sữa tắm và Sữa dưỡng thể Black Opium Grace and Glow 400ml + 100ml,在售,Grace and Glow Việt Nam,VN,美妆个护,"₫188,091",1%,1,191767,533,82759628,125,29.56%,89,981,https://s.500fd.com/tt_product/1240366dac9e45c5a1ebf88b8cda6855~tplv-o3syd03w52-resize-webp:800:800.webp,www.fastmoss.com/zh/e-commerce/detail/1730797152319474524,https://shop.tiktok.com/view/product/1730797152319474524?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-08-26 21:02:05
"Combo Black Opium mới Xịt tóc, Lăn Khử Mùi và Sữa dưỡng thể chống nắng Grace and Glow",在售,Grace and Glow Việt Nam,VN,美妆个护,"₫180,693",1%,1,180693,526,78360151,110,26.62%,79,937,https://s.500fd.com/tt_product/2b4d5d3edb61411fbc6cca97034e93d5~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1730797229898697564,https://shop.tiktok.com/view/product/1730797229898697564?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-08-26 21:02:05
Sữa dưỡng thể chống nắng Black Opium Grace and Glow Sun Body Serum hỗ trợ cải thiện sắc tố da 100ml hỗ trợ nâng tone da body,在售,VIVA TRADING MALL,VN,美妆个护,"105,000₫",-,0,0,25,1750000,0,-21474836.48%,0,0,https://s.500fd.com/tt_product/467a1e8b1dc0456ab6eeff5f4c51077e~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1731965452604836655,https://shop.tiktok.com/view/product/1731965452604836655?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494839688261700399,2025-03-04 05:24:04
[Ưu đãi Livestream Tặng Lăn Khử Mùi] Combo 4IN1 Thơm Ngát sữa tắm sữa dưỡng thể và xịt dưỡng tóc Black Opium Grace and Glow 400ml + 100ml + 300ml,在售,Grace and Glow Việt Nam,VN,美妆个护,"299,000₫",5%,0,0,641,165898000,24,-,3,367,https://s.500fd.com/tt_product/9872daca48aa4e67bc5edfa3803ba541~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1731065340651604828,https://shop.tiktok.com/view/product/1731065340651604828?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-10-16 19:26:24
[Tặng thêm quà giá không đổi - 5in1 combo] Combo 5IN1 Dưỡng Thể sữa tắm sữa dưỡng thể Black Opium Grace and Glow 400ml + 400ml + 300ml,在售,Grace and Glow Việt Nam,VN,美妆个护,"349,000₫ - 499,000",-,0,0,45,11969000,14,-21474836.48%,0,263,https://s.500fd.com/tt_product/8f4712c6059c4ff78d511b976d3d715c~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,www.fastmoss.com/zh/e-commerce/detail/1731480317829352284,https://shop.tiktok.com/view/product/1731480317829352284?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-12-09 14:32:21
[Kèm Quà Tặng chỉ có trong Livestream] Combo 5in1 Sữa Dưỡng Thể chống nắng Black Opium Grace and Glow Sun Body Serum hỗ trợ cải thiện sắc tố da Tặng kèm Tẩy da chết body,在售,Grace and Glow Việt Nam,VN,美妆个护,"510,000₫",5%,0,0,63,17146000,4,-9.2233720368548E+16%,1,137,https://s.500fd.com/tt_product/51465357ddcc4a21b6b5d92f28675746~tplv-o3syd03w52-crop-webp:500:500.webp,www.fastmoss.com/zh/e-commerce/detail/1731135188622019420,https://shop.tiktok.com/view/product/1731135188622019420?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7494542987400088412,2024-10-28 20:03:25
Combo sữa tắm và sữa dưỡng thể Grace and Glow Black Opium Bright & Glow 400ml + 300ml,在售,Nina Store 1989,VN,美妆个护,"198,000₫",-,0,0,15,1304000,0,-9.2233720368548E+16%,0,0,https://s.500fd.com/tt_product/8dfa2e7308bf4aada5a83c08873c59d7~tplv-o3syd03w52-crop-webp:682:682.webp,www.fastmoss.com/zh/e-commerce/detail/1732030356158319030,https://shop.tiktok.com/view/product/1732030356158319030?region=VN&local=en,www.fastmoss.com/zh/shop-marketing/detail/7495637546615081398,2025-04-17 06:19:25
